playlist_name,playlist_id,playlist_genre,playlist_subgenre
Most Popular 2020 TOP 50,1fqkbjEACMlekdddm5aobE,r&b,urban contemporary
New R&B‏‏​​   ‍,4I6rTSxqKl1LRvES2O9owQ,r&b,urban contemporary
Top Urban Underground,4Gc9TFxlqmoe50m9Yy78ei,r&b,urban contemporary
Urban Contemporary,4Pbs84EQbuAblxlp6Chz0d,r&b,urban contemporary
The Sound of Urban Contemporary,07zF8MjQPsiYUXiAIGZ5TA,r&b,urban contemporary
Chixtape 5 - Tory Lanez,0UXwwVDipbBQeEX7h4YuKU,r&b,urban contemporary
urban contemporary,7en9i0JMyJlRFX4r4XrXXx,r&b,urban contemporary
Urban contemporary,1ZlL3IQS8eB0s0RMxz02yD,r&b,urban contemporary
Urban contemporary,0qOJuaqHeg4u1i6gjPKnxE,r&b,urban contemporary
PROJECT: Contemporary,6HaCi9bqaiuSZEDfCEmwyo,r&b,urban contemporary
Urban/Trap - Contemporary RAP,5CK0fshHcik1vWyeCc0zat,r&b,urban contemporary
urban contemporary,4WiB26kw0INKwbzfb5M6Tv,r&b,urban contemporary
urban CONTEMPORARY,1nFfDHtp8RY3obgen8KODl,r&b,urban contemporary
Gospel,0pItJZBDZFvgAOdFnSITnJ,r&b,urban contemporary
Urban Contemporary,4425cRh83Uzor4qCRfM9lb,r&b,urban contemporary
Cuban vibes only,6VWXakL2ojgiVC01I271e2,r&b,urban contemporary
The 1950s/1960s/1970s/1980s/1990s/2000s/2010s with pop/r&b/soul/boogie/dance/jazz/hip hop/hop/rap.,1S7BckuYIkEazeNKOSM0uA,r&b,urban contemporary
Brisa Pop,37i9dQZF1DX2vsux22VuNL,r&b,hip pop
Pop Hits 2020,5TDtuKDbOhrfW7C58XnriZ,r&b,hip pop
Ultimate Indie Presents... Best Tracks of 2019,37i9dQZF1DWTc5QDlvD7t0,r&b,hip pop
Feeling Accomplished,37i9dQZF1DWTDafB3skWPN,r&b,hip pop
Pop / Hip-Hop: Gas ⛽️,7ccXu2NL5YPa7PVgnQxR1j,r&b,hip pop
Charts 2020 🔥Top 2020🔥Hits 2020🔥Summer 2020🔥Pop 2020🔥Popular Music🔥Clean Pop 2020🔥Sing Alongs,3xMQTDLOIGvj3lWH5e5x6F,r&b,hip pop
Girl On Fire,37i9dQZF1DX4F2k37fMTyn,r&b,hip pop
Hip pop,1Sc7bobknESH7SXQcnmoX5,r&b,hip pop
Nidza Bleja - English HIP HOP/POP Songs,5XQopnmKZnE6RjR6NIzbPS,r&b,hip pop
90s/00s Hip Hop & RnB,0Ar0Ng9DlAWZtSPBvOQgOa,r&b,hip pop
TOP 50 GLOBAL 2020 UPDATED WEEKLY 🌍🎶 WORLDWIDE,2CJsD3fcYJWcliEKnwmovU,r&b,hip pop
Hip Pop 2019,3tmx4p5RGlOV1AapXOt1Ze,r&b,hip pop
Bluegrass Covers,37i9dQZF1DX56crgoe4TG3,r&b,hip pop
"Latest Hits 2020 - Pop, Hip Hop & RnB",7FqZlaYKkQmVnguJbHuj2a,r&b,hip pop
Musica Italiana 2020 - Playlist Pop & Hip-Hop (Canzoni Italiane 2020),6kVFIQBhLT4003iw2WWEv1,r&b,hip pop
Today's Hits (Clean),7ENISpOJhocpMJVcGb0qcT,r&b,hip pop
Smooth Hip Hop,7ozFIvz1bE1HPgQTUl5qfT,r&b,hip pop
Fresh Essentials,4RFszTXlSMZFgpqIJS3754,r&b,hip pop
New Jack Swing,3ykXidKLz1eYPvuGoFlD1e,r&b,new jack swing
New Jack Swing - 90s R&B fused w Hip Hop,79xd4wnVuKZK4rJMsL2wPa,r&b,new jack swing
New Jack Swing/ R&B Hits: 1987 - 2002,4sji14lrB5bgcr51lPALYH,r&b,new jack swing
90's NEW JACK SWING,0dmInkymNnOTWvEFamSNzb,r&b,new jack swing
"Swingbeat (old skool), New Jack Swing, R&B, Hip Hop, Urban",3krpccUV68nBGAQbvHEZDC,r&b,new jack swing
New Jack City,6RLvj5OnEuPzI1P02KwnzK,r&b,new jack swing
90s R&B - The BET Planet Groove/Midnight Love Mix,7LjRWGUdOmBdPG1W1bga4i,r&b,new jack swing
New Jack Swing | The Best 👌,3m4z6komWDtKly3Q1FvFmN,r&b,new jack swing
Ultimate Throwbacks Collection,1dsaMvnC1hXPCNGC4aVtjj,r&b,new jack swing
"Back in the day - R&B, New Jack Swing, Swingbeat, RNB..etc.",3a9y4eeCJRmG9p4YKfqYIx,r&b,new jack swing
New Jack Swing,4nX6BscFtR1CozSCfv2cuR,r&b,new jack swing
CSR 103:9 (GTA: SA),4sr2xEhXQR5VuZ0LZX8TQ8,r&b,new jack swing
Best of New Jack Swing,63Y9Sk7Twusm6ZNssHxKaa,r&b,new jack swing
New Jack Swing -late 80's & early 90's Hip Hop and R&B,30z5uGyqurJn0NtkZ9e8BT,r&b,new jack swing
The Sound of New Jack Swing,0zn8nuASKC0PISqD9mxCSV,r&b,new jack swing
The New (Jack Swing) Testament,4mciQwEuqaUMwIWKcDMFW0,r&b,new jack swing
80s-90s R&B / New Jack Swing / Funk / Dance / Soul,3X4HmijjKdwwLonCrOOEAZ,r&b,new jack swing
Kenny B's Ultimate New Jack Swing Mix,7bdhfXlbfml9CuNn5c7372,r&b,new jack swing
R&B 80's/90's/00's,2Ey63yNQeC9Yto7JwX9BGJ,r&b,new jack swing
1987-1997 OLD SKOOL JAMZ,0WicovBbxeB0nvQC6IfuaT,r&b,new jack swing
I Love My Neo-Soul,37i9dQZF1DX44dZ4p5QLf4,r&b,neo soul
Neo Soul Music,78RRvktrPMSqAoCI21mNOe,r&b,neo soul
Neo-Soul,1eqVgsNjaX6mxDPoefhocT,r&b,neo soul
Neo-Soul Guitar,0aS9YCNTNrDiMNa9tT49RG,r&b,neo soul
NEO SOUL GUITAR,0r5ojPhjqGVq21oQR13UJy,r&b,neo soul
Neo Soul / Modern Jazz / Smooth Hiphop,07SNJ4MwYba9wwmzrbjmYi,r&b,neo soul
NEO-soul,3q3M4VCymcMoxJ3Tl7mRqN,r&b,neo soul
Groovy // Funky // Neo-Soul,0JmBB9HfrzDiZoPVRdv8ns,r&b,neo soul
Christmas Soul,6FZYc2BvF7tColxO8PBShV,r&b,neo soul
Neo-Soul / Soulful R&B,4F3xAxHxeBwXhK6k6GPnrW,r&b,neo soul
Neo Soul 2019,44d7ppo4cggZJmzH2WOhAc,r&b,neo soul
NEO FUNK AND SOUL,2WbTrS5D0V2TW6DiDkJBru,r&b,neo soul
Neo Soul,2YPP7fiYu5pIcp2yyHvw4A,r&b,neo soul
Saxophone in Hip Hop - R&B Lounge - Jazz Rap,2ujrP2rPxu8ao7wNeG1ZOY,r&b,neo soul
Japanese Funk/Soul/NEO/Jazz/Acid,4zNayWuATXCAA9gaXvnFnq,r&b,neo soul
Neo-Jazz Soul RnB & Afro,48AzM7l4M02DBYd2N3IFLP,r&b,neo soul
Gospel Neo Soul,2wP2UAYC4Nqb6oUXkMJlAz,r&b,neo soul
Soul Coffee (The Best Neo-Soul Mixtape ever),16iNEskDatG5KbDV16F6LR,r&b,neo soul
Neo-Soul Essentials,0DIwi1dMI59NItQtiNcevy,r&b,neo soul
Sexy Soul 2020,5EMARioe9z9eKOeWIAC2JW,r&b,neo soul
Electro House 2020,317O0e8iWJLClLGDKtieRe,edm,electro house
Electro House Top Tracks,1G0q0NK7g3C0XerNqq7GbL,edm,electro house
Nasty Bits,37i9dQZF1DX2VvACCrgjrt,edm,electro house
Electro Posé - Discoveries,6nZaTh6K1SwhdELFTmA99C,edm,electro house
Techno House 2020 👽 Best Collection 👻 Top DJ’s Electronic Music - Deep House - Trance - Tech House - Dance - Electro Pop,3QEYvCsVXZj8KuzE0bDmcI,edm,electro house
EDM 2020 House & Dance,25ButZrVb1Zj1MJioMs09D,edm,electro house
Electro Vibes,0wHHL0TLztL3muzXLCDTQP,edm,electro house
Electro Swing Top 100,5M7xLCQTYJL0lbKIrUn3a4,edm,electro house
Electro Swing,3Dr4NKbsFQ2m7tmPxGRroO,edm,electro house
Electro House,6k45gxiQhfVqACfIdqONsC,edm,electro house
ELECTRO HOUSE 2020,1N5dPU0Ca9N9AwBbUeyzX5,edm,electro house
New House   ‍,54XvQQsViMBwjO1ws2o2wx,edm,electro house
Jeff Seid Electro House,2Tisn6NZbeofpc57Oc6MGo,edm,electro house
Crossfit‏‏​​   ‍,5GiPRvTccToqwOzkoAcDrY,edm,electro house
Electro House - by Spinnin' Records,4pVZ70y8vzzkn2GVwQbQw8,edm,electro house
💊ELECTRO-HOUSE-TECH💊,0AFYmoSuoMQiGGjzvBwr6u,edm,electro house
Fitness Workout Electro | House | Dance | Progressive House,6KnQDwp0syvhfHOR4lWP7x,edm,electro house
Club Mix 2020 🍹,7sq6nuruoMyDhEWkX2oYOg,edm,electro house
House Electro 2019,72r6odw0Q3OWTCYMGA7Yiy,edm,electro house
🔊BASSBOOSTED🔊⚡ELECTRO HOUSE⚡🔥EDM CAR MUSIC2018/2019🔥,4GSiiL8tcMgvoV7K1IADb8,edm,electro house
Big Room EDM,3S03NWbWkrR1e7DPH9rf9Z,edm,big room
Big Room Beast,3PNyCpkY7NAXyhopBpj7vc,edm,big room
Big Room House | Festival Bangers,5Bx5niVgi3qGQQw06C0RKq,edm,big room
PAROOKAVILLE - Big Room,6vbHQdtfmexb0ptmBSpemm,edm,big room
Big Room House / Bigroom,2EnVd4ugXUybVQoQrarICY,edm,big room
Big Room EDM - by Spinnin' Records,7xWdFCrU5Gka6qp1ODrSdK,edm,big room
BIG-ROOM NEVER DIES !,4QtO2XySphMOJt7pX0yaVi,edm,big room
Dancefloor Beats,6mMk6QCzEgT3QGaCV1R4S5,edm,big room
Bounce United,08QTrfsYYouffgnPjmllAQ,edm,big room
Locker Room,37i9dQZF1DX8SaiEt4OVJw,edm,big room
Sick Big Room House Drops | EZUMI,4R4c3WdN1Any2Q1NSuec3r,edm,big room
big boom room — TOMORROWLAND EDC EDM BIG ROOM AMF ADE DANCE TRANCE HARDWELL TIESTO,2oalsaFUockoPf1DU3wrL8,edm,big room
Trance Party 2019 by FUTURE TRANCE,2yofeyPwe0ZNmJHTrGz2Qt,edm,big room
SINULOG Festival 2020,0COM4nZqdXC3sMjVdcaU7V,edm,big room
[EAS]: Festival Big Room,71UHE27ayQs8ZDxQwY0cY1,edm,big room
Big White Room-Jessie-J,5FhhmunkvwTAsGaiXpRHkJ,edm,big room
Big Room House,7vJOXFe40axY7qS39vGDyH,edm,big room
ALPAS Music Festival,6pPpLz42hUkr8gbMirkAEl,edm,big room
Epic Bass Drops,49EXQVXh5k1t8SOhmUeyU7,edm,big room
Big Room 2019,6SrHyxIxWfQx9ISEr6yowk,edm,big room
@deniceemoberg EDM - POP REMIXES,2fbrY1tuoW8Uji14H7623k,edm,pop edm
EDM House & Dance,5CTzufLc0f6MufjKYrIaoO,edm,pop edm
Pop EDM Remixes,4aUEH3uhbofktrFkXOOaKj,edm,pop edm
EDM 2019,1T0ed6Mg0QIruHvcoWWIKy,edm,pop edm
Waves Pop and EDM,64k01l4j6QtnZ8jMaI84AA,edm,pop edm
Pop Hits 2000-2019,6mtYuOxzl58vSGnEDtZ9uB,edm,pop edm
EDM - pop remixes,0cvVad4XizGbOS0vlwZYS5,edm,pop edm
Verão 2020 | Pop | Funk | Sertanejo | EDM | Top Hits 2019 - As Mais Tocadas,5HmZtuuIDMtIy21kylqhx6,edm,pop edm
2010 - 2011 - 2012 - 2013 - 2014 - 2015 - 2016 - 2017 - 2018 - 2019 - 2020 TOP HITS,2DjIfVDXGYDgRxw7IJTKVb,edm,pop edm
K-Crazy Michioso Tunes,37i9dQZF1DWUXxc8Mc6MmJ,edm,pop edm
EDM Trap,7CEEEMKV41x0RlFCXWdvKF,edm,pop edm
2015 songs,6UJw1egIcZVfrBmcKs5uHH,edm,pop edm
Pop EDM,5EgzhnSirHRvu1AqlFLllv,edm,pop edm
Tastemakers Ball  -  EDM - POP and FUN,67cpuBAXjwibm3LG333Oaq,edm,pop edm
EDM Pop,2d3oOPO0csDU40JyiGwFaF,edm,pop edm
Happy EDM,3d2JFEbvcx7p2CHkBaQeMZ,edm,pop edm
EDM/POP,6gHk5RFrnALbDNJdaXKivi,edm,pop edm
Selected House,2JPzPB9jnvJLAYtmCbvZy8,edm,progressive electro house
Deep Electronic Music 2020 & Progressive House,5CMvAWTlDPdZnkleiTHyyo,edm,progressive electro house
Female Vocal EDM,5QaPRbVgbEcCc9jC1UxgD1,edm,progressive electro house
Vocal House,5PCAWKfUWAUj8VeY8G7xRQ,edm,progressive electro house
Hands Up‏‏​​   ‍,1lSdljPk8zcAdXVMUduDia,edm,progressive electro house
House/Electro/Progressive/Disco/Lofi/Synthwave,42jbIN5Zj0UUPdtmqxQRKF,edm,progressive electro house
Alex Workout,7fRlDx99wBg6i45OCvxwKY,edm,progressive electro house
2011-2014 House,53Ga3Xt9fumdJfhNNSBvzU,edm,progressive electro house
Electro/Progressive/Club House,1HtnPDj2V126xB9tJP786P,edm,progressive electro house
CHRISTIAN ELECTRO / DANCE / EDM,0MhTMIo1bgH6zzPh7BdChT,edm,progressive electro house
Epic Bass Drops | Best House Mixes,4IS7o1utOzhimFEFnj9gmu,edm,progressive electro house
Brand New EDM,2dNitDEHM9FpUGEHWc7zyW,edm,progressive electro house
"Electrónica, Progressive House, Electro House y más 🎧",0o5gKmuET7F3lQnpFxvPO8,edm,progressive electro house
Gym (Melbourne Bounce/Progressive House),5BqOZpVEqRDfZScvW1QUyA,edm,progressive electro house
Fresh EDM | Progressive House | Electro House | Trap | Deep House | Electronic | Future House/Bass,0FCHg9zJMNNiOokh3hVcxd,edm,progressive electro house
"Festival Music 2019 - Warm Up Music (EDM, Big Room & Progressive House)",73uj4YmsC7SJ6SbUMTvf07,edm,progressive electro house
Underground Party | Hypnotic | Minimal | Acid | Big Room | Tech | Liquid,29jj7pQlDqnWclbHQk21Rq,edm,progressive electro house
Trending EDM by Nik Cooper,4N1ipiKR3xla8UXtE12XBm,edm,progressive electro house
♥ EDM LOVE 2020,6jI1gFr6ANFtT8MmTvA2Ux,edm,progressive electro house
